entity_type_id,name,sku,cost,price,quantity,description,status,color,material,thumbnail_id,midium_id,large_id,small_id
1,nnn,sku1,1100,1100,110,,1,red,black,123,123,123,123
1,nnn,sku 2,1100,1100,110,,1,red,black,123,123,123,123
1,nnn,sku 3,1100,1100,110,,1,red,black,123,123,123,123
1,nnn,sku 4,1100,1100,110,,1,red,black,123,123,123,123
1,nnn,sku 5,1100,1100,110,,1,red,black,123,123,123,123
1,nnn,sku 6,1100,1100,110,,1,red,black,123,123,123,123
1,nnn,sku 7,1100,1100,110,,1,red,black,123,123,123,123
1,nnn,sku 8,1100,1100,110,,1,red,black,123,123,123,123
1,nnn,sku 9,1100,1100,110,,1,red,black,123,123,123,123
1,nnn,sku 10,1100,1100,110,,1,red,black,123,123,123,123
1,nnn,sku 11,1100,1100,110,,1,red,black,123,123,123,123
1,nnn,sku 12,1100,1100,110,,1,red,black,123,123,123,123
1,nnn,sku 13,1100,1100,1100,,1,red,black,123,123,123,123
1,nnn,sku 14,1100,1100,1100,,1,red,black,123,123,123,123
1,nnn,sku 15,1100,1100,1100,,1,red,black,123,123,123,123
1,nnn,sku 16,1100,1100,1100,,1,red,black,123,123,123,123
1,nnn,sku 17,1100,1100,1100,,1,red,black,123,123,123,123
1,nnn,sku 18,1100,1100,1100,,1,red,black,123,123,123,123
1,nnn,sku 19,1100,1100,1100,,1,red,black,123,123,123,123
1,nnn,sku 20,1100,1100,1100,,1,red,black,123,123,123,123
1,nnn,sku 21,1100,1100,1100,,1,red,black,123,123,123,123
1,nnn,sku 22,1100,1100,1100,,1,red,black,123,123,123,123
1,nnn,sku 23,1100,1100,1100,,1,red,black,123,123,123,123
1,nnn,sku 24,1100,1100,1100,,1,red,black,123,123,123,123
1,nnn,sku 25,1100,1100,1100,,1,red,black,123,123,123,123
1,nnn,sku 26,1100,1100,1100,,1,red,black,123,123,123,123
1,nnn,sku 27,1100,1100,1100,,1,red,black,123,123,123,123
1,nnn,sku 28,1100,1100,1100,,1,red,black,123,123,123,123
1,nnn,sku 29,1100,1100,1100,,1,red,black,123,123,123,123
